Date,years_since_halving,realized_vol_30,dxy_ret_30,dxy_ret_100,short_percent_r,long_percent_r,wr_composite,log_price_residual,log_price_residual_target
2018-08-18,2.108145106091718,0.10712650456708839,0.097719903653337,0.372368795620423,0.1738062836596215,0.1468858868350753,0.7048375196181553,0.3296077633859227,0.3296077633859227
2018-08-19,2.11088295687885,0.11354728268850742,0.17361839990934502,0.384698241125305,0.1894220329974162,0.1555653348628659,0.6844801341333657,0.3403830999807855,0.3403830999807855
2018-08-20,2.113620807665982,0.1306909598788668,0.152445739504878,0.363086295343637,0.1802347035430117,0.1360365535371713,0.7082472508176022,0.3076395041714317,0.3076395041714317
2018-08-21,2.116358658453114,0.16728049180122692,0.084692256988316,0.29392707951084,0.2071605622558937,0.1480491164053066,0.6754602595348114,0.3338616833416328,0.3338616833416328
2018-08-22,2.1190965092402463,0.10556297860697395,0.050702795628767,0.276488312910825,0.2135973620455969,0.1405165660451908,0.6759000397401709,0.3145232892255496,0.3145232892255496
2018-08-23,2.1218343600273784,-0.19980334068265654,0.106754268017621,0.257455641970738,0.2487897983136456,0.1558617562812226,0.6341252603151478,0.3370749366143624,0.3370749366143624
2018-08-24,2.1245722108145104,-0.16843281211000885,0.083722012549529,0.188457238219614,0.3092486512159212,0.1858973359057901,0.5623425132717873,0.3630176815375634,0.3630176815375634
2018-08-25,2.127310061601643,-0.18252080434553405,0.042216519881679,0.17973684425326203,0.3975868725020183,0.2068088265918278,0.4778287754766109,0.3674390378904597,0.3674390378904597
2018-08-26,2.130047912388775,-0.22494336353361383,0.04964102441785,0.161256102741644,0.4521445585876179,0.2181151178309285,0.4283598872544051,0.3571584776606773,0.3571584776606773
2018-08-27,2.132785763175907,-0.1863935074217235,0.010561731495435,0.121742780550941,0.5334049656946371,0.2545651332814293,0.347816207208965,0.3812516344208863,0.3812516344208863
2018-08-28,2.135523613963039,-0.13903047023552292,0.004224853759866,0.115335523077126,0.6471375727932167,0.3051538965257228,0.2451850826071091,0.4094816872748374,0.4094816872748374
