Date,mvrv,hash_rate,adr_act_cnt,tx_cnt
2009-10-27,,3.1814572562e-06,81,1
2009-10-28,,3.2808777955e-06,66,0
2009-10-29,,2.2866724029e-06,89,2
2009-10-30,,2.9826161777e-06,60,0
2009-10-31,,2.2866724029e-06,46,0
2009-11-01,,1.2427567407e-06,25,0
2009-11-02,,1.6404388977e-06,33,0
2009-11-03,,3.082036717e-06,62,0
2009-11-04,,3.1317469866e-06,105,1
2009-11-05,,2.8334853688e-06,57,0
2009-11-06,,3.082036717e-06,62,0
2009-11-07,,3.4300086044e-06,69,0
2009-11-08,,3.6288496829e-06,73,0
2009-11-09,,3.1814572562e-06,64,0
2009-11-10,,3.8774010311e-06,120,3
2009-11-11,,3.1814572562e-06,76,6
2009-11-12,,3.2808777955e-06,68,2
2009-11-13,,3.9768215703e-06,91,1
2009-11-14,,3.9271113007e-06,79,0
2009-11-15,,4.7721858844e-06,96,0
2009-11-16,,4.821896154e-06,97,0
2009-11-17,,4.5733448059e-06,92,0
2009-11-18,,3.9271113007e-06,79,0
2009-11-19,,3.479718874e-06,153,2
2009-11-20,,4.2750831881e-06,86,0
2009-11-21,,3.6288496829e-06,73,0
2009-11-22,,5.2692885807e-06,106,0
2009-11-23,,4.7721858844e-06,96,0
2009-11-24,,4.6230550755e-06,93,0
2009-11-25,,4.4739242666e-06,90,0
2009-11-26,,4.1756626488e-06,84,0
2009-11-27,,3.6785599525e-06,74,0
2009-11-28,,3.5294291437e-06,71,0
2009-11-29,,2.9826161777e-06,60,0
2009-11-30,,3.7282702222e-06,75,0
2009-12-01,,3.6288496829e-06,240,1
2009-12-02,,4.6727653451e-06,94,0
2009-12-03,,4.3745037274e-06,88,0
2009-12-04,,1.7895697066e-06,36,0
2009-12-05,,3.1814572562e-06,84,1
2009-12-06,,5.1201577718e-06,107,2
2009-12-07,,5.5675501985e-06,133,1
2009-12-08,,5.2195783111e-06,116,1
2009-12-09,,4.7721858844e-06,119,13
2009-12-10,,5.1698680414e-06,104,0
2009-12-11,,5.5675501985e-06,180,2
2009-12-12,,5.4681296592e-06,110,0
2009-12-13,,5.6669707377e-06,114,0
2009-12-14,,5.0704475022e-06,437,5
2009-12-15,,5.4681296592e-06,137,3
2009-12-16,,6.7605966696e-06,136,0
2009-12-17,,8.4010355674e-06,179,3
2009-12-18,,1.11848106666e-05,225,0
2009-12-19,,9.8426333866e-06,200,1
2009-12-20,,8.6992971851e-06,177,1
2009-12-21,,8.6992971851e-06,175,0
2009-12-22,,8.05306368e-06,162,0
2009-12-23,,7.6553815229e-06,154,0
2009-12-24,,7.6553815229e-06,154,0
2009-12-25,,7.4068301748e-06,151,1
2009-12-26,,8.6495869155e-06,174,0
2009-12-27,,8.3016150281e-06,173,1
2009-12-28,,6.8103069392e-06,137,0
2009-12-29,,8.5004561066e-06,171,0
2009-12-30,,7.9274385195e-06,141,0
2009-12-31,,8.1147111617e-06,138,0
2010-01-01,,7.761897633e-06,136,2
2010-01-02,,7.4090841042e-06,126,0
2010-01-03,,1.09372193919e-05,186,0
2010-01-04,,1.06432081179e-05,266,2
2010-01-05,,1.16428464495e-05,198,0
2010-01-06,,9.5847675316e-06,163,0
2010-01-07,,9.0555472385e-06,154,0
2010-01-08,,8.9967449837e-06,153,0
2010-01-09,,8.8791404741e-06,151,0
2010-01-10,,1.11724284111e-05,190,0
2010-01-11,,9.4467222828e-06,159,0
2010-01-12,,1.03151234807e-05,375,2
2010-01-13,,1.06394984329e-05,168,2
2010-01-14,,9.2771236336e-06,155,2
2010-01-15,,9.1473736527e-06,147,1
2010-01-16,,8.1093738056e-06,132,1
2010-01-17,,8.4986237482e-06,131,0
2010-01-18,,8.1093738056e-06,128,1
2010-01-19,,8.0444988151e-06,124,0
2010-01-20,,1.02502484902e-05,158,0
2010-01-21,,1.13531233278e-05,187,9
2010-01-22,,8.6283737291e-06,141,3
2010-01-23,,1.03799984711e-05,164,2
2010-01-24,,9.9907485285e-06,156,1
2010-01-25,,1.38891428992e-05,272,4
2010-01-26,,1.30302482192e-05,215,6
2010-01-27,,1.09587728613e-05,182,2
2010-01-28,,1.18274560759e-05,199,2
2010-01-29,,1.31638917907e-05,214,4
2010-01-30,,1.40325750053e-05,248,4
2010-01-31,,1.1025594647e-05,184,2
2010-02-01,,1.22952085761e-05,203,9
2010-02-02,,9.6891589322e-06,167,1
2010-02-03,,1.80418821497e-05,277,2
2010-02-04,,1.58446145715e-05,269,5
2010-02-05,,2.01604285278e-05,472,4
2010-02-06,,1.73578577459e-05,224,14
2010-02-07,,1.96179954732e-05,230,5
2010-02-08,,1.80811018186e-05,329,8
2010-02-09,,1.87139403823e-05,623,3
2010-02-10,,1.51881255276e-05,777,5
2010-02-11,,1.52785310367e-05,245,5
2010-02-12,,1.6544208164e-05,226,5
2010-02-13,,2.09740781096e-05,318,3
2010-02-14,,1.90158401261e-05,263,11
2010-02-15,,2.21152004874e-05,273,9
2010-02-16,,2.45026369037e-05,217,6
2010-02-17,,3.00314370256e-05,267,11
2010-02-18,,2.61361460306e-05,268,7
2010-02-19,,2.4125673259e-05,198,3
2010-02-20,,2.61361460306e-05,221,2
2010-02-21,,2.8020964254e-05,344,4
2010-02-22,,3.26701825383e-05,531,5
2010-02-23,,3.1413637056e-05,252,1
2010-02-24,,2.84655236405e-05,283,6
2010-02-25,,2.8946369781e-05,300,4
2010-02-26,,3.23297117034e-05,196,4
2010-02-27,,3.23297117034e-05,184,3
2010-02-28,,2.93222966613e-05,264,3
2010-03-01,,3.66528708266e-05,227,4
2010-03-02,,3.53371267456e-05,233,5
2010-03-03,,2.85704429007e-05,260,6
2010-03-04,,3.47732364252e-05,575,3
2010-03-05,,3.21417482633e-05,175,2
2010-03-06,,3.32695289041e-05,274,6
2010-03-07,,3.36454557844e-05,297,4
2010-03-08,,2.80433283726e-05,313,5
2010-03-09,,3.28852291444e-05,229,2
2010-03-10,,3.64890898726e-05,211,7
2010-03-11,,2.99570923028e-05,200,3
2010-03-12,,2.72541967566e-05,130,2
2010-03-13,,3.4461918213e-05,190,1
2010-03-14,,2.81551619387e-05,134,2
2010-03-15,,3.04075748938e-05,145,5
2010-03-16,,2.83804032342e-05,154,3
2010-03-17,,3.06328161893e-05,164,3
2010-03-18,,3.15337813713e-05,285,10
2010-03-19,,3.4461918213e-05,229,8
2010-03-20,,4.32463287379e-05,273,12
2010-03-21,,4.12377930986e-05,193,8
2010-03-22,,4.06214507725e-05,223,6
2010-03-23,,4.69756441894e-05,289,13
2010-03-24,,3.88059669391e-05,208,11
2010-03-25,,4.24369346059e-05,541,15
2010-03-26,,4.47062893976e-05,280,16
2010-03-27,,4.03945152933e-05,217,7
2010-03-28,,4.22099991267e-05,196,5
2010-03-29,,4.42524184393e-05,268,12
2010-03-30,,4.87911280228e-05,227,6
2010-03-31,,4.74295151477e-05,239,7
2010-04-01,,4.47002045237e-05,197,9
2010-04-02,,4.71916688602e-05,179,5
2010-04-03,,4.87042223493e-05,192,5
2010-04-04,,5.17293293275e-05,241,12
2010-04-05,,4.62841367667e-05,307,28
2010-04-06,,4.80992009537e-05,267,15
2010-04-07,,5.83845646796e-05,303,11
2010-04-08,,5.53594577014e-05,227,15
2010-04-09,,5.71745218883e-05,308,32
2010-04-10,,7.86527814337e-05,559,41
2010-04-11,,6.74598856143e-05,398,39
2010-04-12,,7.19277209962e-05,357,45
2010-04-13,,7.34688770108e-05,246,21
2010-04-14,,6.99703590579e-05,338,75
2010-04-15,,8.39644308695e-05,891,41
2010-04-16,,7.85222918316e-05,433,31
2010-04-17,,8.59080519544e-05,306,30
2010-04-18,,9.52374331622e-05,3479,3109
2010-04-19,,9.01840183413e-05,537,41
2010-04-20,,7.96884644826e-05,426,38
2010-04-21,,8.78481537128e-05,375,34
2010-04-22,,9.061318254e-05,232,39
2010-04-23,,8.54841344716e-05,241,50
2010-04-24,,9.57422306083e-05,285,34
2010-04-25,,9.00432883101e-05,343,45
2010-04-26,,9.3462653689e-05,281,49
2010-04-27,,0.000102580961366,271,52
2010-04-28,,0.000102580961366,329,48
2010-04-29,,8.37744517822e-05,212,32
2010-04-30,,8.20647690928e-05,206,25
2010-05-01,,0.0001042906440554,269,28
2010-05-02,,8.83336056207e-05,231,27
2010-05-03,,9.061318254e-05,302,27
2010-05-04,,8.31506698313e-05,275,40
2010-05-05,,8.75068811554e-05,296,26
2010-05-06,,9.5171717461e-05,446,30
2010-05-07,,8.43131993614e-05,250,26
2010-05-08,,9.8365399255e-05,420,25
2010-05-09,,9.13392993082e-05,267,42
2010-05-10,,8.17582539262e-05,286,27
2010-05-11,,7.08997358266e-05,160,19
2010-05-12,,8.11195175674e-05,263,33
2010-05-13,,8.17582539262e-05,255,38
2010-05-14,,7.85645721322e-05,249,31
2010-05-15,,5.81250086506e-05,159,21
2010-05-16,,7.21772085442e-05,169,20
2010-05-17,,9.13392993082e-05,291,35
2010-05-18,,0.0001073077082782,309,56
2010-05-19,,0.0001009137612625,309,42
2010-05-20,,0.0001195424766694,291,35
2010-05-21,,0.0001036427383932,318,58
2010-05-22,,0.0001148314431061,349,32
2010-05-23,,0.0001242535102327,446,98
2010-05-24,,0.0001107092887381,329,61
2010-05-25,,0.0001236646310373,348,45
2010-05-26,,0.0001313200605777,403,64
2010-05-27,,0.0001130648055198,385,75
2010-05-28,,0.0001313200605777,359,53
2010-05-29,,0.0001240129115186,372,60
2010-05-30,,0.0001230946939768,270,52
2010-05-31,,0.0001173117217766,297,47
2010-06-01,,0.0001115287495763,250,48
2010-06-02,,0.0001214424162053,259,47
2010-06-03,,0.0001255731106341,409,86
2010-06-04,,0.0001032673607188,226,44
2010-06-05,,0.0001197901384338,270,50
2010-06-06,,0.0001222685550911,263,50
2010-06-07,,0.0001297038050628,478,51
2010-06-08,,0.0001321822217201,350,62
2010-06-09,,0.0001387913328061,342,51
2010-06-10,,0.0001321822217201,291,59
2010-06-11,,0.000139018730269,356,80
2010-06-12,,0.0001166451924922,290,78
2010-06-13,,0.0001486146156197,351,72
2010-06-14,,0.0001391101925277,415,88
2010-06-15,,0.0001589830771745,371,89
2010-06-16,,0.0001226934617325,291,48
2010-06-17,,0.0001261496155841,279,57
2010-06-18,,0.0001296057694358,274,42
2010-06-19,,0.0001296057694358,385,67
2010-06-20,,0.0001598471156374,305,40
2010-06-21,,0.0001330619232874,352,91
2010-06-22,,0.0001347900002132,366,73
2010-06-23,,0.0001615751925633,347,67
2010-06-24,,0.0001541694150006,366,73
2010-06-25,,0.0001446926486387,244,57
2010-06-26,,0.0001533742075571,252,44
2010-06-27,,0.0001717019430513,312,58
2010-06-28,,0.0001466218839539,288,75
2010-06-29,,0.000163020384133,413,98
2010-06-30,,0.0001755604136817,438,87
2010-07-01,,0.0002035343257518,403,76
2010-07-02,,0.0001610911488178,398,80
2010-07-03,,0.0002044989434094,326,66
2010-07-04,,0.0001601265311602,431,58
2010-07-05,,0.0001726665607089,380,71
2010-07-06,,0.0001953985360524,273,40
2010-07-07,,0.0001822475979769,383,66
2010-07-08,,0.000176406328811,309,68
2010-07-09,,0.0002324825128039,349,68
2010-07-10,,0.0002313142589707,405,42
2010-07-11,,0.0002091174361402,717,238
2010-07-12,,0.0007698792760694,3430,1581
2010-07-13,,0.0012185652901107,2012,796
2010-07-14,,0.0013040497673099,6752,5548
2010-07-15,,0.0014078322747429,2009,711
